"","annot_site_detected","alt_site_detected","alt_site_detected_meydan","annot_site_detected_meydan","riboseq_reads_detected"
"b0288_304182",TRUE,FALSE,FALSE,FALSE,TRUE
"b0289_305205",TRUE,FALSE,FALSE,FALSE,TRUE
"b0290_306817",TRUE,FALSE,FALSE,FALSE,TRUE
"b0291_309332",TRUE,FALSE,FALSE,FALSE,TRUE
"b0292_310026",FALSE,FALSE,FALSE,FALSE,TRUE
"b0293_310671",TRUE,FALSE,FALSE,FALSE,TRUE
"b0294_311336",FALSE,FALSE,FALSE,FALSE,TRUE
"b0295_312112",TRUE,TRUE,FALSE,FALSE,TRUE
"b4506_312514",TRUE,TRUE,FALSE,FALSE,TRUE
"b0296_312777",TRUE,TRUE,FALSE,FALSE,TRUE
"b4671_313242",TRUE,FALSE,FALSE,FALSE,TRUE
"b4630_313805",FALSE,TRUE,FALSE,FALSE,TRUE
"b0297_314357",TRUE,FALSE,FALSE,FALSE,TRUE
"b0298_315291",FALSE,FALSE,FALSE,FALSE,FALSE
"b0299_315587",FALSE,FALSE,FALSE,FALSE,FALSE
"b0300_317169",FALSE,TRUE,FALSE,FALSE,TRUE
"b4631_317439",FALSE,FALSE,FALSE,FALSE,TRUE
"b0301_318319",TRUE,FALSE,FALSE,FALSE,TRUE
"b0303_318567",FALSE,FALSE,FALSE,FALSE,TRUE
"b0304_320001",TRUE,FALSE,FALSE,FALSE,TRUE
"b0305_320227",TRUE,TRUE,FALSE,FALSE,TRUE
"b0306_321608",TRUE,FALSE,FALSE,FALSE,TRUE
"b0307_322338",TRUE,FALSE,FALSE,FALSE,TRUE
"b0308_323758",TRUE,FALSE,FALSE,FALSE,TRUE
"b0310_325364",FALSE,TRUE,FALSE,FALSE,TRUE
"b0311_327247",TRUE,FALSE,FALSE,FALSE,TRUE
"b0312_328733",TRUE,TRUE,FALSE,FALSE,TRUE
"b0313_329334",FALSE,FALSE,FALSE,FALSE,TRUE
"b0314_329463",TRUE,FALSE,FALSE,TRUE,TRUE
"b0315_332371",TRUE,TRUE,TRUE,TRUE,TRUE
"b0316_334433",FALSE,TRUE,FALSE,FALSE,TRUE
"b0317_335022",TRUE,FALSE,FALSE,FALSE,TRUE
"b0318_335280",TRUE,FALSE,FALSE,FALSE,TRUE
"b0319_335925",FALSE,FALSE,FALSE,FALSE,TRUE
"b0320_336778",TRUE,FALSE,FALSE,FALSE,TRUE
"b0321_338325",TRUE,TRUE,FALSE,FALSE,TRUE
"b0323_340165",TRUE,FALSE,FALSE,FALSE,TRUE
"b0324_341125",TRUE,FALSE,FALSE,FALSE,TRUE
"b0325_342884",TRUE,FALSE,FALSE,TRUE,TRUE
"b0326_344176",TRUE,FALSE,FALSE,FALSE,TRUE
"b0327_345404",FALSE,TRUE,FALSE,FALSE,TRUE
"b0328_346337",TRUE,TRUE,FALSE,FALSE,TRUE
"b0329_346484",TRUE,FALSE,FALSE,TRUE,TRUE
"b0330_348443",FALSE,FALSE,FALSE,FALSE,TRUE
"b0331_348682",TRUE,FALSE,FALSE,FALSE,TRUE
"b0333_350012",TRUE,FALSE,FALSE,FALSE,TRUE
"b0334_351215",TRUE,FALSE,FALSE,FALSE,TRUE
"b0335_352706",TRUE,FALSE,FALSE,FALSE,TRUE
"b0336_354922",TRUE,FALSE,FALSE,TRUE,TRUE
"b0337_356171",TRUE,FALSE,FALSE,TRUE,TRUE
"b0338_358690",TRUE,TRUE,FALSE,FALSE,TRUE
"b0339_358799",TRUE,TRUE,FALSE,FALSE,TRUE
"b0340_359489",TRUE,FALSE,FALSE,FALSE,TRUE
"b0341_359992",TRUE,FALSE,FALSE,FALSE,TRUE
"b0342_361860",TRUE,TRUE,FALSE,FALSE,TRUE
"b0343_363179",FALSE,FALSE,FALSE,FALSE,TRUE
"b0344_366305",TRUE,FALSE,FALSE,FALSE,TRUE
"b0345_367510",TRUE,FALSE,FALSE,FALSE,TRUE
"b0346_368420",TRUE,FALSE,FALSE,FALSE,TRUE
"b0347_368611",TRUE,FALSE,FALSE,FALSE,TRUE
"b0348_370277",FALSE,FALSE,FALSE,FALSE,TRUE
"b0349_371239",TRUE,FALSE,FALSE,FALSE,TRUE
"b0350_372115",TRUE,FALSE,FALSE,FALSE,TRUE
"b0351_372921",TRUE,FALSE,FALSE,TRUE,TRUE
"b0352_373868",TRUE,FALSE,FALSE,TRUE,TRUE
"b0353_375459",FALSE,FALSE,FALSE,FALSE,TRUE
"b0354_376772",TRUE,FALSE,FALSE,TRUE,TRUE
"b0355_378368",FALSE,TRUE,FALSE,FALSE,TRUE
"b0356_379571",TRUE,FALSE,FALSE,FALSE,TRUE
"b0357_379881",TRUE,TRUE,FALSE,FALSE,TRUE
"b0358_380842",TRUE,FALSE,FALSE,FALSE,TRUE
"b4579_382872",TRUE,TRUE,FALSE,FALSE,TRUE
"b4579_381260",FALSE,TRUE,FALSE,FALSE,TRUE
"b0360_381351",FALSE,FALSE,FALSE,FALSE,FALSE
"b0361_381674",FALSE,FALSE,FALSE,FALSE,FALSE
"b0363_383935",TRUE,FALSE,FALSE,FALSE,TRUE
"b0364_384616",TRUE,FALSE,FALSE,FALSE,TRUE
"b0365_385232",TRUE,FALSE,FALSE,FALSE,TRUE
"b0366_386207",FALSE,FALSE,FALSE,FALSE,TRUE
"b0367_386971",FALSE,TRUE,FALSE,FALSE,TRUE
"b0368_387795",FALSE,FALSE,FALSE,FALSE,TRUE
"b0369_389727",TRUE,FALSE,FALSE,FALSE,TRUE
"b4580_390251",TRUE,TRUE,FALSE,FALSE,TRUE
"b4580_392970",FALSE,FALSE,FALSE,FALSE,TRUE
"b0372_392605",FALSE,FALSE,FALSE,FALSE,FALSE
"b0373_392901",FALSE,FALSE,FALSE,FALSE,FALSE
"b0375_394506",TRUE,FALSE,FALSE,FALSE,TRUE
"b0376_396287",TRUE,FALSE,FALSE,FALSE,TRUE
"b0377_396639",TRUE,FALSE,FALSE,TRUE,TRUE
"b0378_397872",TRUE,TRUE,FALSE,TRUE,TRUE
"b0379_399333",TRUE,FALSE,FALSE,FALSE,TRUE
"b0380_399593",TRUE,FALSE,FALSE,TRUE,TRUE
"b0381_400923",TRUE,FALSE,FALSE,FALSE,TRUE
"b0382_401386",TRUE,FALSE,FALSE,TRUE,TRUE
"b0383_401747",TRUE,FALSE,FALSE,TRUE,TRUE
"b0384_403281",TRUE,FALSE,FALSE,FALSE,TRUE
"b0385_403703",FALSE,FALSE,FALSE,FALSE,TRUE
"b0386_405644",TRUE,FALSE,FALSE,FALSE,TRUE
"b0387_405764",TRUE,TRUE,FALSE,TRUE,TRUE
"b0388_406405",FALSE,FALSE,FALSE,TRUE,TRUE
"b0389_406979",TRUE,TRUE,FALSE,FALSE,TRUE
"b0390_407428",TRUE,FALSE,FALSE,TRUE,TRUE
"b0391_408177",TRUE,FALSE,FALSE,TRUE,TRUE
"b0392_408609",FALSE,TRUE,FALSE,FALSE,TRUE
"b0393_410019",FALSE,TRUE,FALSE,FALSE,TRUE
"b0394_410144",TRUE,FALSE,FALSE,TRUE,TRUE
"b0396_412481",TRUE,FALSE,FALSE,FALSE,TRUE
"b0397_415753",FALSE,TRUE,FALSE,FALSE,TRUE
"b0398_416952",FALSE,FALSE,FALSE,FALSE,FALSE
"b0399_417142",FALSE,FALSE,FALSE,FALSE,TRUE
"b0400_417889",TRUE,FALSE,FALSE,FALSE,TRUE
"b0401_419591",FALSE,FALSE,FALSE,FALSE,TRUE
"b0402_420986",TRUE,FALSE,FALSE,TRUE,TRUE
"b0403_422518",TRUE,FALSE,FALSE,FALSE,TRUE
"b0404_424918",TRUE,TRUE,FALSE,FALSE,TRUE
"b0405_425011",FALSE,FALSE,FALSE,TRUE,FALSE
"b0406_426137",TRUE,FALSE,FALSE,TRUE,TRUE
"b0407_427287",TRUE,TRUE,FALSE,TRUE,TRUE
"b0408_427647",TRUE,FALSE,FALSE,TRUE,TRUE
"b0409_429505",TRUE,TRUE,TRUE,TRUE,TRUE
"b0410_430605",FALSE,FALSE,FALSE,TRUE,TRUE
"b0411_432013",FALSE,FALSE,FALSE,FALSE,TRUE
"b0412_432851",TRUE,FALSE,FALSE,FALSE,TRUE
"b0413_433002",FALSE,TRUE,FALSE,FALSE,TRUE
"b0414_433455",FALSE,FALSE,FALSE,FALSE,TRUE
"b0415_434647",TRUE,FALSE,FALSE,TRUE,TRUE
"b0416_435137",FALSE,FALSE,FALSE,TRUE,TRUE
"b0417_435634",FALSE,FALSE,FALSE,FALSE,TRUE
"b0418_436589",FALSE,FALSE,FALSE,FALSE,TRUE
"b0419_438135",TRUE,FALSE,FALSE,FALSE,TRUE
