"","MFE","peak_type","peak_type_2"
"370",-10.9,"annotated peak","annotated"
"371",-4.8,"annotated no peak","annotated"
"372",-13.9,"annotated no peak","annotated"
"373",-9,"annotated no peak","annotated"
"374",-6.9,"annotated peak","annotated"
"375",-4,"annotated peak","annotated"
"376",-4.7,"annotated peak","annotated"
"377",-3.4,"annotated peak","annotated"
"378",-5.3,"annotated peak","annotated"
"379",-5.3,"annotated peak","annotated"
"380",-3.3,"annotated peak","annotated"
"381",-4.4,"annotated peak","annotated"
"382",-3.8,"annotated peak","annotated"
"383",-6.1,"annotated peak","annotated"
"384",-9.7,"annotated no peak","annotated"
"385",-4.7,"annotated peak","annotated"
"386",-6.4,"annotated peak","annotated"
"387",-8.4,"annotated no peak","annotated"
"388",-8,"annotated peak","annotated"
"389",-5.1,"annotated peak","annotated"
"390",-3.4,"annotated peak","annotated"
"391",-3.9,"annotated no peak","annotated"
"392",-6,"annotated no peak","annotated"
"393",-4.3,"annotated peak","annotated"
"394",-4.7,"annotated peak","annotated"
"395",-4.3,"annotated no peak","annotated"
"396",-9.1,"annotated no peak","annotated"
"397",-2.5,"annotated no peak","annotated"
"398",-6,"annotated peak","annotated"
"399",-2,"annotated no peak","annotated"
"400",-4.2,"annotated peak","annotated"
"401",-5.1,"annotated peak","annotated"
"402",-1.3,"annotated peak","annotated"
"403",-2.8,"annotated no peak","annotated"
"404",-3.6,"annotated peak","annotated"
"405",-2.1,"annotated peak","annotated"
"406",-4.8,"annotated peak","annotated"
"407",-6.2,"annotated peak","annotated"
"408",-2.1,"annotated no peak","annotated"
"409",-2.6,"annotated no peak","annotated"
"410",-4.1,"annotated peak","annotated"
"411",-4.5,"annotated no peak","annotated"
"412",-11.3,"annotated no peak","annotated"
"413",-7,"annotated peak","annotated"
"414",-4,"annotated no peak","annotated"
"415",-5.7,"annotated no peak","annotated"
"416",-5.8,"annotated no peak","annotated"
"417",-5.2,"annotated peak","annotated"
"418",-1.5,"annotated peak","annotated"
"419",-4.6,"annotated peak","annotated"
"420",-2.8,"annotated peak","annotated"
"421",-4,"annotated no peak","annotated"
"422",-2.2,"annotated peak","annotated"
"423",-7.6,"annotated peak","annotated"
"424",-6.6,"annotated peak","annotated"
"425",-4.3,"annotated peak","annotated"
"426",-8,"annotated no peak","annotated"
"427",-2.9,"annotated peak","annotated"
"428",-4.2,"annotated peak","annotated"
"429",-5.9,"annotated peak","annotated"
"430",-6.3,"annotated peak","annotated"
"431",-17.4,"annotated no peak","annotated"
"432",-3.9,"annotated peak","annotated"
"433",-8.9,"annotated peak","annotated"
"434",-5.1,"annotated peak","annotated"
"435",-2.9,"annotated peak","annotated"
"436",-1.1,"annotated peak","annotated"
"437",-4.9,"annotated peak","annotated"
"438",-2,"annotated peak","annotated"
"439",-7.3,"annotated no peak","annotated"
"440",-3.8,"annotated peak","annotated"
"441",-3.9,"annotated peak","annotated"
"442",-3.9,"annotated peak","annotated"
"443",-2.3,"annotated no peak","annotated"
"444",-7,"annotated peak","annotated"
"445",-5.5,"annotated peak","annotated"
"446",-5.1,"annotated no peak","annotated"
"447",-8.8,"annotated peak","annotated"
"448",-9.3,"annotated peak","annotated"
"449",-2.8,"annotated peak","annotated"
"450",-9.9,"annotated peak","annotated"
"451",-5.3,"annotated peak","annotated"
"452",-8.6,"annotated no peak","annotated"
"453",-8.9,"annotated peak","annotated"
"454",-4.9,"annotated peak","annotated"
"455",-2.3,"annotated no peak","annotated"
"456",-3.9,"annotated peak","annotated"
"457",-3.3,"annotated peak","annotated"
"458",-6.8,"annotated peak","annotated"
"459",-8.1,"annotated peak","annotated"
"460",-2.8,"annotated peak","annotated"
"461",-3.1,"annotated no peak","annotated"
"462",-3.4,"annotated no peak","annotated"
"463",-2.2,"annotated no peak","annotated"
"464",-3.9,"annotated peak","annotated"
"465",-2,"annotated peak","annotated"
"466",-6.6,"annotated no peak","annotated"
"467",-4,"annotated peak","annotated"
"468",-4.7,"annotated peak","annotated"
"469",-7.3,"annotated no peak","annotated"
"470",-2.2,"annotated peak","annotated"
"471",-3.9,"annotated peak","annotated"
"472",-5.7,"annotated peak","annotated"
"473",-2.7,"annotated peak","annotated"
"474",-0.9,"annotated no peak","annotated"
"475",-1.3,"annotated peak","annotated"
"476",-2.8,"annotated peak","annotated"
"477",-1.9,"annotated peak","annotated"
"478",-5.8,"annotated no peak","annotated"
"479",-5.5,"annotated peak","annotated"
"480",-0.4,"annotated peak","annotated"
"481",-3.9,"annotated peak","annotated"
"482",-7.7,"annotated peak","annotated"
"483",-7.7,"annotated peak","annotated"
"484",-4.5,"annotated peak","annotated"
"485",-6,"annotated peak","annotated"
"486",-4.7,"annotated peak","annotated"
"487",0,"annotated peak","annotated"
"488",-4.9,"annotated no peak","annotated"
"489",-4.6,"annotated peak","annotated"
"490",-4.9,"annotated no peak","annotated"
"491",-1.3,"annotated no peak","annotated"
"492",-7.4,"annotated no peak","annotated"
"493",-10.9,"annotated peak","annotated"
"494",-1.6,"annotated peak","annotated"
"495",-3.1,"annotated peak","annotated"
"496",-3.3,"annotated no peak","annotated"
"497",-4.4,"annotated peak","annotated"
"498",-3.7,"annotated no peak","annotated"
"499",-4.5,"annotated peak","annotated"
"500",-8.3,"annotated no peak","annotated"
"501",-3.3,"annotated no peak","annotated"
"502",-7.7,"annotated peak","annotated"
"503",-1.1,"annotated peak","annotated"
"504",-5.6,"annotated no peak","annotated"
"505",-2.2,"annotated peak","annotated"
"506",-6.5,"annotated no peak","annotated"
"507",-0.2,"annotated peak","annotated"
"508",-1.4,"annotated peak","annotated"
"509",-0.7,"annotated peak","annotated"
"510",-5,"annotated no peak","annotated"
"511",-5.3,"annotated peak","annotated"
"512",-1.9,"annotated peak","annotated"
"513",-4.5,"annotated peak","annotated"
"514",-4.6,"annotated peak","annotated"
"515",-8.3,"annotated no peak","annotated"
"516",-5.1,"annotated peak","annotated"
"517",-8.2,"annotated no peak","annotated"
"518",-5.3,"annotated no peak","annotated"
"519",-11.1,"annotated no peak","annotated"
"520",-6.4,"annotated no peak","annotated"
"521",-11,"annotated no peak","annotated"
"522",-4.6,"annotated peak","annotated"
"523",-0.4,"annotated no peak","annotated"
"524",-5.7,"annotated no peak","annotated"
"525",-3.4,"annotated no peak","annotated"
"526",-5.3,"annotated peak","annotated"
"527",-1,"annotated peak","annotated"
"528",-6.3,"annotated peak","annotated"
"529",-3.7,"annotated no peak","annotated"
"530",-6.9,"annotated no peak","annotated"
"531",-3.4,"annotated peak","annotated"
"532",-4.4,"annotated no peak","annotated"
"533",-12.4,"annotated no peak","annotated"
"534",-3.7,"annotated no peak","annotated"
"535",-6.2,"annotated no peak","annotated"
"536",-9.1,"annotated no peak","annotated"
"537",-4.9,"annotated peak","annotated"
"538",-6.8,"annotated no peak","annotated"
"539",-9,"annotated no peak","annotated"
"540",-13.9,"annotated no peak","annotated"
"541",-2.9,"annotated peak","annotated"
"542",-2.2,"annotated peak","annotated"
"543",-5.5,"annotated no peak","annotated"
"544",-5.9,"annotated no peak","annotated"
"545",-14.4,"annotated no peak","annotated"
"546",-14,"annotated no peak","annotated"
"547",-11.6,"annotated no peak","annotated"
"548",-9.5,"annotated peak","annotated"
"549",-6,"annotated peak","annotated"
"550",-7,"annotated peak","annotated"
"551",-3.2,"annotated peak","annotated"
"552",-2.1,"annotated peak","annotated"
"553",-4.9,"annotated no peak","annotated"
"554",-11.7,"annotated no peak","annotated"
"555",-14,"annotated no peak","annotated"
"556",-9.7,"annotated no peak","annotated"
"557",-8.4,"annotated peak","annotated"
"558",-6.9,"annotated no peak","annotated"
"559",-3.3,"annotated no peak","annotated"
"560",-5.8,"annotated peak","annotated"
"561",-2.9,"annotated peak","annotated"
"562",-6,"annotated no peak","annotated"
"563",-6.3,"annotated no peak","annotated"
"564",-5.5,"annotated no peak","annotated"
"565",-5.8,"annotated no peak","annotated"
"566",-1.1,"annotated no peak","annotated"
"567",-1.1,"annotated no peak","annotated"
"568",-8.3,"annotated no peak","annotated"
"569",-4.6,"annotated peak","annotated"
"570",-3.5,"annotated peak","annotated"
"571",-6.1,"annotated peak","annotated"
"572",-9.8,"annotated peak","annotated"
"573",-3.8,"annotated peak","annotated"
"574",-4.9,"annotated no peak","annotated"
"575",-10.9,"annotated no peak","annotated"
"576",-3.6,"annotated peak","annotated"
"577",-5.6,"annotated no peak","annotated"
"578",-1.5,"annotated peak","annotated"
"579",-2.3,"annotated no peak","annotated"
"580",-7.8,"annotated no peak","annotated"
"581",-7.2,"annotated peak","annotated"
"582",-6.3,"annotated peak","annotated"
"583",-4.1,"annotated peak","annotated"
"584",-11.6,"annotated no peak","annotated"
"585",-11.5,"annotated no peak","annotated"
"586",0,"annotated peak","annotated"
"587",-8,"annotated no peak","annotated"
"588",-3.1,"annotated no peak","annotated"
"589",-6.4,"annotated no peak","annotated"
"590",-4.8,"annotated peak","annotated"
"591",-5.6,"annotated no peak","annotated"
"592",-4.5,"annotated peak","annotated"
"593",-4.2,"annotated peak","annotated"
"594",-4,"annotated peak","annotated"
"595",-4.8,"annotated no peak","annotated"
"596",-9.5,"annotated no peak","annotated"
"597",-1.9,"annotated peak","annotated"
"598",-2.7,"annotated peak","annotated"
"599",-4.9,"annotated peak","annotated"
"600",-8.7,"annotated peak","annotated"
"601",-6.8,"annotated peak","annotated"
"602",-4.8,"annotated peak","annotated"
"603",-9.7,"annotated peak","annotated"
"604",-6,"annotated no peak","annotated"
"605",-2,"annotated peak","annotated"
"606",-7.3,"annotated peak","annotated"
"607",-2.2,"annotated no peak","annotated"
"608",-2.6,"annotated peak","annotated"
"609",-3.2,"annotated peak","annotated"
"610",-7.4,"annotated no peak","annotated"
"611",-2.2,"annotated peak","annotated"
"612",-3.1,"annotated peak","annotated"
"613",-3.8,"annotated peak","annotated"
"614",-6.1,"annotated peak","annotated"
"615",-4.2,"annotated peak","annotated"
"616",-4.6,"annotated no peak","annotated"
"617",-4.3,"annotated peak","annotated"
"618",-3.9,"annotated no peak","annotated"
"619",-4.1,"annotated peak","annotated"
"620",-10.5,"annotated peak","annotated"
"621",-10.5,"annotated no peak","annotated"
"622",-1.8,"annotated peak","annotated"
"623",-9.4,"annotated no peak","annotated"
"624",-1.7,"annotated peak","annotated"
"625",-2.8,"annotated peak","annotated"
"626",-8.3,"annotated peak","annotated"
"627",-1.4,"annotated no peak","annotated"
"628",-5.7,"annotated peak","annotated"
"629",-4.7,"annotated no peak","annotated"
"630",-2.2,"annotated peak","annotated"
"631",-3,"annotated peak","annotated"
"632",-15.4,"annotated peak","annotated"
"633",-9.3,"annotated no peak","annotated"
"634",-6.4,"annotated peak","annotated"
"635",-2.5,"annotated peak","annotated"
"636",-5,"annotated peak","annotated"
"637",-4.3,"annotated no peak","annotated"
"638",-3.1,"annotated peak","annotated"
"639",-4.6,"annotated peak","annotated"
"640",-8.5,"annotated peak","annotated"
"641",-10.4,"annotated no peak","annotated"
"642",-2,"annotated peak","annotated"
"643",-5.5,"annotated peak","annotated"
"644",-7.7,"annotated no peak","annotated"
"645",-8.7,"annotated no peak","annotated"
"646",-5.3,"annotated no peak","annotated"
"647",-9.7,"annotated no peak","annotated"
"648",-10.9,"annotated peak","annotated"
"649",-6.7,"annotated no peak","annotated"
"650",-5.6,"annotated peak","annotated"
"651",-3.2,"annotated peak","annotated"
"652",-3.1,"annotated peak","annotated"
"653",-7.5,"annotated peak","annotated"
"654",-1.3,"annotated no peak","annotated"
"655",-3.2,"annotated peak","annotated"
"656",-8.7,"annotated peak","annotated"
"657",-3.5,"annotated no peak","annotated"
"658",-4.7,"annotated peak","annotated"
"659",-4.1,"annotated no peak","annotated"
"660",-12.3,"annotated no peak","annotated"
"661",-6.5,"annotated peak","annotated"
"662",-2.9,"annotated peak","annotated"
"663",-11.7,"annotated no peak","annotated"
"664",-5.1,"annotated peak","annotated"
"665",-3.8,"annotated no peak","annotated"
"666",-3.1,"annotated peak","annotated"
"667",-2.5,"annotated no peak","annotated"
"668",-3.6,"annotated peak","annotated"
"669",-7.3,"annotated peak","annotated"
"670",-2.9,"annotated peak","annotated"
"671",-4.1,"annotated peak","annotated"
"672",-7,"annotated no peak","annotated"
"673",-3.5,"annotated peak","annotated"
"674",-8.8,"annotated peak","annotated"
"675",-6.1,"annotated peak","annotated"
"676",-7.9,"annotated peak","annotated"
"677",-3.4,"annotated peak","annotated"
"678",-4.6,"annotated peak","annotated"
"679",-5.2,"annotated no peak","annotated"
"680",-5,"annotated no peak","annotated"
"681",-4.2,"annotated peak","annotated"
