,Control_R1,Control_R2,Control_R3,Control_R4,Control_R5
b2113_mrp_2194168_-1,10.0173576185604,9.80794067394616,10.2794411212505,9.77142696660447,9.84430980596541
b2114_metG_2194300_1,3.67908012102453,4.04203940991859,3.83078997258538,4.07814515876929,4.02404418771527
b4499_yehH_2196474_1;b4499_yehH_2199322_1,6.84494736491396,6.92436057702556,6.96865308402065,6.98044317955389,7.09765373391582
b2118_yehI_2200279_1,9.57601385557703,9.45464751265363,9.74707175240018,9.55731634241175,9.53534632224668
b4541_yehK_2203972_1,8.25826121931898,8.2089153324755,8.37651826283999,8.50124077488172,8.51594190181581
b2119_yehL_2204596_1,5.43156366841727,5.29191209348671,4.87932239435772,5.18903181787247,4.95959937613097
b2121_yehP_2207967_1,5.10040388269864,4.96359158451237,5.30001780999591,5.03396274316243,5.22890736216537
b2122_yehQ_2209100_1,7.03314130782477,7.05024830650656,7.32651335321211,6.74303213943888,6.91504046615072
b2123_yehR_2211225_1,8.02603306406857,8.36389905725635,7.80984583139612,8.31169309951632,8.55382143776211
b2124_yehS_2212196_-1,2.46012411577433,2.77358248508165,2.33080951063396,2.59059047038332,2.96485295103396
b2125_yehT_2212962_-1,9.83096238190764,9.56613004885551,10.1064984271259,9.55402697604842,9.61299095646257
b2126_yehU_2214644_-1,4.28933521039722,3.92068569796796,3.95483163971207,4.01574889232851,4.15909551844442
b2127_mlrA_2214866_1,3.47545813283276,2.75002555338748,2.94743075782357,3.36640605440874,2.59724783061761
b4542_yohO_2215657_1,6.7965340305148,6.9924464158145,7.27508238438777,7.11003531485367,7.08922087826716
b2128_yehW_2216476_-1,4.47397160036788,4.3625230217894,5.00517734771329,4.40464474303641,4.42876774456098
b2129_yehX_2217407_-1,6.53538137437343,6.39851205613527,6.58868929207602,6.43505908954446,6.44018923935584
b2130_yehY_2218557_-1,5.89377264513752,5.79903004742441,5.97508263611428,5.67021045293219,5.56196568788876
b2131_osmF_2219481_-1,7.95101555483179,8.00634248219381,7.62800027995689,7.6339297462368,7.77284060824374
b2132_bglX_2221989_-1,5.78032908413265,5.87993789576767,5.76744975772145,5.72193611619673,5.73627004362946
b2133_dld_2222185_1,6.54409644490865,7.09884667854454,6.55967499222886,7.30787408378226,7.20145408046935
b2134_pbpG_2224870_-1,3.96523633818784,4.17181206528815,3.8941435200823,4.23973365208741,4.20976441171201
b2135_yohC_2225631_-1,8.95381315757101,8.52957452950471,9.24224408530642,8.68638530526959,8.75540970322526
b2136_yohD_2225801_1,8.18979592383487,7.89462720033478,8.57805237183531,7.75823759086998,7.98588955305624
b2137_yohF_2227270_-1,7.32877973416778,7.28656688700019,7.57775280965927,7.71372810080496,7.76862190164468
b2139_mdtQ_2228758_-1;b2139_mdtQ_2228609_-1,4.20392036362112,4.22404382998518,3.66632555225347,4.05350953152505,4.32915849152905
b4679_yohP_2228982_1,9.06396111554423,8.86863082841256,8.90658430179118,8.57720056164209,8.64524809047077
b2140_dusC_2230385_-1,8.22950884299385,7.87025155951619,8.02395602900912,7.79863802747106,8.05160291917242
b2141_yohJ_2230624_1,8.29228302040671,8.32506760800037,8.86686793530866,8.40105942393966,8.48220284521109
b2142_yohK_2231019_1,10.0140287710819,9.5304942528396,9.75988368497565,9.36017099243468,9.47933261577343
b2143_cdd_2231844_1,7.22149232277301,7.27216804135348,6.93289595189214,7.22204793071901,6.89969053565347
b2145_yeiS_2233600_1,8.22612804746687,8.08729374064198,8.0733758780678,8.00945228487803,8.08845638511355
b2146_preT_2234033_1,6.99392085943343,6.9071577737075,6.70278428318317,6.79039218039779,6.93022879495042
b2147_preA_2235265_1,10.0377496460704,9.63083995122004,10.2075337545371,9.68384795302804,9.8428056676665
b2148_mglC_2237753_-1,2.90105483678977,3.17839483106371,3.22875142420758,3.2411033680262,2.93504640737934
b2149_mglA_2239289_-1,5.63289339589699,5.53871594489236,5.57981285397744,5.66208544445968,5.57168399453442
b2150_mglB_2240348_-1,9.16382087988185,9.20574099280265,9.28453044645773,9.20523963139931,9.31981305180201
b2151_galS_2241668_-1,4.3302181908749,4.55152824484827,3.8941435200823,4.27212467687263,4.48127195278843
b2152_yeiB_2242967_-1,3.34189125629082,3.39131591777274,3.32385143138138,3.10387363148171,3.15785317953454
b2153_folE_2243652_-1,4.69354263118314,5.2165680924422,4.74142988896675,5.17196675319444,4.78680661917324
b2154_yeiG_2243910_1,8.63791877943739,8.80253754055464,8.72249377293905,9.04185799101149,9.04599119126147
b2155_cirA_2246769_-1,6.99709803256171,6.53226687189073,7.04879329048222,6.7411050139902,6.7014968722984
b2156_lysP_2248532_-1,4.49210035572612,4.40838878126378,4.01306958687323,4.12618919103076,4.39632285562261
b2157_yeiE_2249618_-1,4.56241974257584,4.48173301382858,4.64158851339159,4.54380704159377,4.22215838354803
b2158_yeiH_2249717_1,7.89335566104746,7.75811328672082,8.22583195847373,7.77434534057569,7.87252345507523
b2159_nfo_2250840_1,7.04546996203471,6.92172730668981,7.06540196430823,6.88068875900232,6.76004495862058
b2160_yeiI_2251700_1,6.27241823271383,6.32069306228648,6.08776708330577,6.3312811905537,6.48716090128655
b2161_nupX_2254145_-1,3.5291206705279,3.54978480791902,3.34214166830374,3.63899166469763,3.82715307597368
b2162_rihB_2255186_-1,7.6087030166298,7.95446742515555,7.76902497957722,8.02695779141421,7.91989563028523
b2163_yeiL_2255355_1,3.7561135802864,3.70486217078015,3.46406499471325,3.70375145865987,3.84329010864946
b2164_psuT_2257335_-1,7.42746083668478,7.40159183857063,7.43380753261971,7.55824053866378,7.6031661891201
b2165_psuG_2258367_-1,7.80184610928462,7.85652943517023,8.0808832527884,8.03169538498244,8.19761206470251
b2166_psuK_2259296_-1,8.37276220462815,8.34780524426761,8.70581695437528,8.40897087284634,8.5328310575718
b2167_fruA_2261410_-1,6.35150196374105,6.63872032272818,6.9627547679287,7.00795087047551,6.77904462666118
b2168_fruK_2262365_-1,6.54192260788784,6.02684642731575,7.11411068627473,6.48197056214099,6.42686549081038
b2169_fruB_2263495_-1,7.50427520061277,7.80244602891898,7.82211456233406,7.54062130483255,7.56961094470758
b2170_setB_2263863_1,1.98443461582561,2.30898017209487,1.44957532676153,2.24383890478067,2.10271340871561
b4502_yeiW_2265295_-1,3.47545813283276,3.14265808338183,3.44726563193721,3.46310457463035,2.55867459292278
b2171_yeiP_2265450_1,3.89884074049105,4.03230749577737,4.20517384429616,4.0284459043052,4.14614527526868
b2172_yeiQ_2266245_1,5.03389817321643,5.06253168967343,4.90415649870389,4.94969401618923,4.8913933740375
b2173_yeiR_2267829_1,6.27241823271383,6.26152818608968,6.36769377872028,6.34657153032777,6.43487449668812
b2174_lpxT_2268854_1,7.36980123803423,7.331898971515,6.75149458549205,6.65160692504123,6.60305208490038
b2175_mepS_2269979_1,7.29174173953471,7.54793832995611,7.36279867179203,7.21373366486851,7.00026701256651
b2176_rtn_2270726_1,1.57217864487246,1.98498922291688,1.0652268418338,2.24383890478067,1.25057842591461
b2177_yejA_2272364_1,8.09215139740853,7.95575511795987,7.97717844484882,7.92369588627094,7.99765265902958
b2178_yejB_2274179_1,3.81490941734617,3.40646337271088,3.44726563193721,3.40586656966903,3.45949096757772
