"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b2667_ygaV_2797211_1","ygaV","74.6086870022847","87.2621261460251","70.2943618104665","84.1683311919991","74.2534427415998","77.291994693686","68.0937278406264","83.2810737668639","77.2752649309747","70.9596282218641","65.8288750968242","66.8329124467837","67.2702653507323","74.4949978053292","68.777390580476","56.3280009439438","53.3941457356904","59.3632332647838","57.1405280611388","66.2616335971523","64.0195739111394","67.1657702166388","67.3686066512394","56.8620129577084","67.3881312857159","64.6833634017226"
"b2668_ygaP_2797520_1","ygaP","68.0049049135702","94.8117707676475","67.809207605046","95.132363807799","75.0015882604068","83.5495175024702","68.8602613622845","83.721714368805","82.0306658498039","104.905732789096","104.523408995201","87.4139086638395","87.8800280194616","89.8969171828023","97.2320698435003","92.3331151836806","95.0826518293255","90.097389494069","105.110354087774","83.8227769275451","101.537279320411","95.951100309484","94.7673222749492","86.5149824657397","87.3147292465458","91.5518374301305"
"b2669_stpA_2798495_-1","stpA","28.6632243850585","30.590767817483","34.2004554936445","30.7878895675997","24.6888021206327","27.2318122234126","25.0400950408307","23.0234714514214","24.0742171515729","26.1753095458173","31.3088552289774","21.4662003554239","27.6995210267721","25.7746405908734","26.3098541929472","21.7630912737965","28.1346075607292","29.8921245517706","26.5715212794596","27.6995353561866","26.6615183121204","27.7572825895293","28.3657291163113","22.6470481407492","20.470050632489","27.43711898139"
"b2670_alaE_2799164_1","alaE","296.186651978938","251.687503164996","214.551646401306","252.726489184397","192.460434713114","229.558383040768","201.598316196076","193.99202500456","227.367606431522","176.683339434267","152.04864565047","211.785090104543","187.136645032062","194.095616644687","216.198367063783","197.948116953575","187.290234272883","217.665188637541","195.171350990721","186.111910759215","243.146661014128","204.924135660969","198.882441645046","217.672347597417","208.32352413595","216.795888324455"
"b2671_ygaC_2799994_-1","ygaC","210.759002831313","222.077208674996","208.161249873082","217.397939644598","216.588127694641","207.07765294995","223.444521563331","227.701031053053","226.079685349339","240.690151058023","238.268416204115","220.415830453631","224.069339734425","229.457166235824","230.211224188288","230.112685674407","225.282222584817","218.928236153813","224.799772948349","248.390604631948","231.971174296473","229.597275740551","229.021028831127","216.368920366294","216.837615991941","220.77640299533"
"b2672_ygaM_2800146_1","ygaM","198.534980667097","268.649691730459","215.498371812895","276.205023674797","215.278873036729","247.28803099899","213.862852542605","245.21649498021","264.420105257399","299.789092141939","282.582488220514","283.265324277759","250.284957849048","263.089928958061","261.95463522543","266.277822644098","285.45331758696","237.452933059135","266.420651412635","248.571647346694","270.925727998014","292.308173442821","267.540399619754","283.3324943652","262.306489520743","281.052768011441"
"b2673_nrdH_2800723_1","nrdH","89.6428292042517","113.146621991588","83.9035396020551","117.835663668799","83.7922981063896","133.841460076773","86.4905323604204","93.0853271600529","109.176079428121","87.3191966879999","108.537364793788","117.732150402943","98.9268608099005","100.898288166712","113.675728714092","102.574569900761","95.288013928309","101.464817140517","114.516202328291","80.7450507768577","114.628563761092","107.94498784817","95.8955046829843","100.200968392523","106.154421864058","102.356091536792"
"b2675_nrdE_2801348_1","nrdE","91.4694072287897","78.0456768676809","83.1934955433635","71.5430815131993","78.1812067153368","75.4379138614537","76.3978409919223","79.9762692523058","72.1235806022431","77.2989610024917","75.4623690134326","73.2506424499516","83.4283192830161","84.5533941334749","72.0661223545944","77.1309558380139","69.6177515553809","75.3618351375624","76.6576631602109","71.1497868953029","72.3213640442547","74.0194202387448","75.4270524229187","71.3626409039434","79.3440900622138","79.1838097027682"
"b2676_nrdF_2803502_1","nrdF","53.5327867191534","21.9626025356288","23.4314539368222","28.1299422667997","23.9406566018256","23.1760104029044","26.5731620841469","26.3282759659795","25.064925676329","21.0629444001498","15.4135902665735","21.4662003554239","23.4126903916765","20.431117541546","18.445495602664","16.3223184553473","21.1522961952927","17.6826652278079","17.4008192449558","21.5440830548118","16.4439304559784","21.4176563190812","18.0509185285617","17.1074824084796","20.651201523042","20.6133795456039"
"b2677_proV_2804815_1","proV","125.75287168935","127.265437907349","116.802247654765","109.640326157999","102.121863317162","104.29204681307","88.1513549906796","92.6446865581118","97.7829313934257","86.2967236588664","96.9771720938581","88.5204138367995","94.1453958707553","94.4546280189934","75.9268074807334","64.9692283614806","69.4123894563975","82.0980885576797","84.1823417526242","85.8142467897546","102.974127612681","95.6084178083787","96.8625181755858","87.3296244851911","90.2131434953938","101.218801630828"
"b2678_proW_2806010_1","proW","46.2264746210013","40.885737756059","51.1231722257938","50.3902509109995","55.3627683917217","42.0644588812714","71.7986398619738","72.4853790193075","66.8728254210358","47.2382539459671","60.8515699065765","49.7927327831997","52.1014800265476","52.0207685096286","50.4748833158171","54.7277736443999","56.4745772204417","49.2588531346078","50.0861418807513","61.3734802990017","49.810740798692","47.1188439019787","50.1235326998456","52.7888028604513","42.3893083894019","44.3543063326098"
