"","RNA_input"
"b2311_ubiX_2428626_-1",519
"b2312_purF_2430238_-1",751
"b2313_cvpA_2430763_-1",2033
"b2314_dedD_2431684_-1",430
"b2315_folC_2432942_-1",448
"b2316_accD_2433926_-1",609
"b2317_dedA_2434741_-1",4435
"b2318_truA_2435636_-1",307
"b2319_usg_2436649_-1",316
"b2320_pdxB_2437851_-1",1235
"b2321_flk_2437950_1",326
"b2322_yfcJ_2440120_-1",1546
"b2323_fabB_2441605_-1",516
"b2324_mnmC_2441764_1",1051
"b2325_yfcL_2444169_-1",377
"b2326_epmC_2444751_-1",781
"b2327_yfcA_2445560_-1",2451
"b2328_mepA_2446384_-1",1004
"b2329_aroC_2447473_-1",747
"b2330_prmB_2448440_-1",1263
"b2331_smrB_2448606_1",548
"b2332_yfcO_2450049_-1",1035
"b2333_yfcP_2450590_-1",400
"b2334_yfcQ_2451075_-1",996
"b2335_yfcR_2451584_-1",265
"b2336_yfcS_2452336_-1",5687
"b4661_yfcU_2455001_-1",2480
"b2339_yfcV_2455646_-1",414
"b2340_sixA_2456812_-1",301
"b2341_fadJ_2459159_-1",598
"b2342_fadI_2460469_-1",591
"b2343_yfcZ_2460934_-1",547
"b2344_fadL_2461306_1",712
"b2345_yfdF_2463012_1",833
"b2346_mlaA_2465007_-1",1161
"b2347_yfdC_2465301_1",188
"b2349_intS_2466545_1",1407
"b2350_gtrA_2467855_1",2177
"b2351_gtrB_2468214_1",1159
"b2352_gtrS_2469131_1",1972
"b2353_tfaS_2470815_1",255
"b2354_yfdK_2471517_-1",823
"b2355_yfdL_2472122_-1",1147
"b2356_yfdM_2472387_-1",1443
"b2357_yfdN_2472881_-1",1644
"b2358_oweS_2473585_-1",273
"b2359_yfdP_2473604_1",190
"b2360_yfdQ_2474032_1",1448
"b2361_yfdR_2474984_1",806
"b2362_yfdS_2475511_1",1602
"b2363_yfdT_2475873_1",1197
"b4545_ypdJ_2476181_1",2657
"b4501_torI_2476310_1",478
"b2364_dsdC_2477629_-1",255
"b2365_dsdX_2477847_1",782
"b2366_dsdA_2479202_1",3163
"b2367_emrY_2482176_-1",2100
"b2368_emrK_2483339_-1",1417
"b2369_evgA_2483755_1",272
"b2370_evgS_2484374_1",355
"b2371_yfdE_2489168_-1",667
"b2372_yfdV_2490186_-1",371
"b2373_oxc_2491950_-1",998
"b2374_frc_2493254_-1",853
"b2375_yfdX_2494402_-1",191
"b2376_ypdI_2494698_1",1193
"b2377_yfdY_2495292_-1",2229
"b2378_lpxP_2495645_1",2195
"b4680_ypdK_2496921_1",6345
"b2379_alaC_2498295_-1",284
"b2380_ypdA_2498671_1",1777
"b2381_ypdB_2500383_1",865
"b2382_ypdC_2501130_1",1405
"b2383_fryA_2504485_-1",4328
"b2384_ypdE_2505547_-1",1122
"b2385_ypdF_2506632_-1",1007
"b2386_fryC_2507894_-1",726
"b2387_fryB_2508242_-1",478
"b2388_glk_2509426_-1",620
"b2389_yfeO_2509630_1",5440
"b2390_ypeC_2511001_1",767
"b2392_mntH_2512706_-1",1443
"b2393_nupC_2513042_1",3104
"b2394_insL1_2514331_1",0
"b2395_yfeA_2517832_-1",4481
"b2398_yfeC_2518467_1",1418
"b2399_yfeD_2518813_1",2141
"b2400_gltX_2520672_-1",1285
"b2405_xapR_2522477_-1",1231
"b2406_xapB_2523985_-1",2553
"b2407_xapA_2524878_-1",1138
"b2408_yfeN_2525127_1",2355
"b2409_yfeR_2526856_-1",707
"b2410_yfeH_2526946_1",586
"b4546_ypeB_2528159_-1",436
"b2411_ligA_2530176_-1",836
"b2412_zipA_2531233_-1",899
"b2413_cysZ_2531463_1",175
"b2414_cysK_2532409_1",790
"b2415_ptsH_2533764_1",877
"b2416_ptsI_2534066_1",649
"b2417_crr_2535834_1",1257
"b2418_pdxK_2537237_-1",766
"b2419_yfeK_2537342_1",1044
"b2420_yfeS_2537749_1",419
"b2421_cysM_2539583_-1",1300
"b2422_cysA_2540814_-1",1674
"b2423_cysW_2541679_-1",252
"b2424_cysU_2542512_-1",5930
"b2425_cysP_2543528_-1",2193
"b2426_ucpA_2544623_-1",890
"b2427_murR_2545609_-1",674
"b2428_murQ_2545773_1",1913
"b2429_murP_2546673_1",2136
"b2430_yfeW_2548102_1",672
"b2431_yfeX_2550545_-1",560
"b2432_yfeY_2551216_-1",691
"b2433_yfeZ_2551726_-1",2203
"b2434_ypeA_2552138_-1",1344
"b2435_amiA_2552352_1",642
"b2436_hemF_2553225_1",1243
"b2437_eutR_2555182_-1",351
"b2438_eutK_2555728_-1",1220
"b2439_eutL_2556400_-1",754
"b2440_eutC_2557297_-1",774
"b2441_eutB_2558679_-1",952
"b2442_intZ_2558858_1",483
"b2443_yffL_2560257_1",1254
"b2444_yffM_2561368_1",1769
"b2445_yffN_2561625_1",311
"b2446_yffO_2562111_1",175
"b2447_yffP_2562524_1",2345
"b2448_yffQ_2563592_1",475
"b2449_yffR_2563980_1",4676
"b2450_yffS_2564523_1",1066
"b2451_eutA_2566884_-1",240
"b2452_eutH_2568107_-1",3086
"b2453_eutG_2569511_-1",802
"b2454_eutJ_2570337_-1",5393
"b2455_eutE_2571751_-1",122
"b2456_eutN_2572050_-1",448
"b2457_eutM_2572450_-1",345
"b2458_eutD_2573505_-1",1449
"b2459_eutT_2574305_-1",692
"b2460_eutQ_2575003_-1",381
"b2461_eutP_2575457_-1",1955
"b2462_eutS_2575805_-1",971
"b2463_maeB_2578377_-1",1538
"b2464_talA_2578666_1",1784
"b2465_tktB_2579636_1",831
"b2466_ypfG_2582777_-1",1415
"b2467_nudK_2583478_-1",676
"b2468_aegA_2585525_-1",1445
"b2469_narQ_2585731_1",1634
"b2470_acrD_2587595_1",2182
"b4606_ypfM_2590866_-1",1842
"b2471_yffB_2591247_1",1196
"b2472_dapE_2591607_1",2792
"b4547_ypfN_2592762_1",1051
"b2473_ypfH_2593770_-1",674
"b2474_tmcA_2595859_-1",317
"b2475_ypfJ_2596737_-1",245
"b2476_purC_2597618_-1",1100
"b2477_bamC_2598865_-1",587
"b2478_dapA_2599760_-1",1121
"b2479_gcvR_2599906_1",2761
"b2480_bcp_2600478_1",1071
"b2481_hyfA_2601201_1",2037
"b2482_hyfB_2601818_1",467
"b2483_hyfC_2603847_1",2300
"b2484_hyfD_2604811_1",3029
"b2485_hyfE_2606262_1",584
"b2486_hyfF_2606917_1",1591
"b2487_hyfG_2608487_1",1187
"b2488_hyfH_2610164_1",1182
"b2489_hyfI_2610706_1",2754
"b2490_hyfJ_2611457_1",3528
"b2491_hyfR_2611900_1",3206
"b2492_focB_2613934_1",736
"b2493_yfgO_2615881_-1",829
"b2494_bepA_2616094_1",1534
"b2495_yfgD_2617578_1",1368
"b2496_hda_2618776_-1",2566
"b2497_uraA_2620160_-1",1163
"b2498_upp_2620872_-1",781
"b2499_purM_2621197_1",446
"b2500_purN_2622234_1",657
"b2501_ppk_2623044_1",432
"b2502_ppx_2625115_1",522
"b2503_yfgF_2628938_-1",835
"b2504_yfgG_2629290_1",479
"b2505_yfgH_2629792_1",907
"b2506_yfgI_2630326_1",630
"b2507_guaA_2632535_-1",1260
"b2508_guaB_2634070_-1",514
"b2509_xseA_2634232_1",644
"b2510_yfgJ_2635814_-1",1549
"b2511_der_2637356_-1",2686
"b2512_bamB_2638652_-1",778
"b2513_yfgM_2639283_-1",699
"b2514_hisS_2640575_-1",229
"b2515_ispG_2641804_-1",1943
"b2516_rodZ_2642844_-1",603
"b2517_rlmN_2644283_-1",14886
"b2518_ndk_2644864_-1",4156
"b2519_pbpC_2647325_-1",3276
"b2520_yfhM_2652287_-1",633
"b2521_sseA_2652494_1",441
"b2522_sseB_2654933_-1",301
"b2523_pepB_2656358_-1",245
"b2524_iscX_2656736_-1",1542
"b2525_fdx_2657083_-1",1327
"b2526_hscA_2658935_-1",729
"b2527_hscB_2659467_-1",448
"b2528_iscA_2659886_-1",394
"b2529_iscU_2660289_-1",1042
"b2530_iscS_2661531_-1",1285
"b2531_iscR_2662131_-1",290
"b2532_trmJ_2663323_-1",749
"b2533_suhB_2663442_1",140
"b2534_yfhR_2664390_1",882
"b2535_csiE_2665435_1",1412
"b2536_hcaT_2667846_-1",2564
"b2537_hcaR_2668896_-1",1542
"b4706_iroK_2668071_-1",517
"b2538_hcaE_2669032_1",1580
"b2539_hcaF_2670390_1",994
"b2540_hcaC_2670908_1",594
"b2541_hcaB_2671225_1",426
"b2542_hcaD_2672047_1",1667
"b2543_yphA_2673346_1",2739
"b2544_yphB_2674688_-1",8194
"b2545_yphC_2675761_-1",2583
"b2546_yphD_2676825_-1",2012
"b2547_yphE_2678361_-1",283
"b2548_yphF_2679367_-1",1472
"b2549_yphG_2682745_-1",812
"b2550_yphH_2682863_1",494
"b2551_glyA_2685507_-1",433
"b2552_hmp_2685835_1",996
"b2553_glnB_2687408_-1",310
"b2554_glrR_2688803_-1",213
"b2555_yfhG_2689506_-1",1236
"b2556_glrK_2691098_-1",2203
"b2557_purL_2695543_-1",872
"b2558_mltF_2695801_1",423
"b2559_tadA_2697857_-1",843
"b2560_pgpC_2698550_-1",1701
"b2561_yfhH_2698759_1",347
"b2562_yfhL_2699663_1",507
"b4687_shoB_2700197_-1",1006
"b2563_acpS_2700998_-1",1612
"b2564_pdxJ_2701729_-1",1041
"b2565_recO_2702469_-1",6585
"b2566_era_2703386_-1",64
"b2567_rnc_2704063_-1",49
"b2568_lepB_2705309_-1",785
"b2569_lepA_2707124_-1",900
"b2570_rseC_2707801_-1",283
"b2571_rseB_2708754_-1",3476
"b2572_rseA_2709404_-1",1346
"b2573_rpoE_2710012_-1",2232
"b2574_nadB_2710420_1",3869
"b2575_trmN_2712764_-1",558
"b2576_srmB_2712896_1",1141
"b2577_yfiE_2715320_-1",6284
"b2578_eamB_2715423_1",1561
"b2579_grcA_2716449_-1",977
"b2580_ung_2716754_1",468
"b2581_yfiF_2718528_-1",553
"b2582_trxC_2718735_1",594
"b2583_yfiP_2719223_1",745
"b2584_pka_2719953_1",1618
"b2585_pssA_2722727_1",396
"b2586_yfiM_2724128_1",563
"b2587_kgtP_2725746_-1",3062
"b2592_clpB_2734173_-1",3004
"b2593_yfiH_2735034_-1",1003
"b2594_rluD_2736011_-1",373
"b2595_bamD_2736146_1",3580
"b2597_raiA_2737154_1",2064
"b2598_pheL_2737599_1",7008
"b2599_pheA_2737745_1",667
"b2600_tyrA_2740069_-1",1436
"b2601_aroF_2741150_-1",132
"b2602_yfiL_2741360_1",862
"b2603_yfiR_2741875_1",2876
"b2604_yfiN_2742383_1",544
"b2605_yfiB_2743625_1",1939
"b2606_rplS_2744530_-1",1417
"b2607_trmD_2745339_-1",881
"b2608_rimM_2745918_-1",3585
"b2609_rpsP_2746185_-1",1158
"b2610_ffh_2747795_-1",1413
"b2611_ypjD_2747962_1",844
"b4461_yfjD_2748774_1",2203
"b2614_grpE_2750708_-1",901
"b2615_nadK_2750831_1",2253
"b2616_recN_2751795_1",2183
"b2617_bamE_2753605_1",1075
"b2618_ratB_2754298_-1",1041
"b2619_ratA_2754764_-1",1234
"b2620_smpB_2754896_1",677
"b2622_intA_2756159_1",1188
"b2623_yfjH_2758600_-1",954
"b2624_alpA_2758644_1",1064
"b2625_yfjI_2758985_1",823
"b2626_yfjJ_2760547_1",1018
"b2627_yfjK_2763540_-1",4937
"b2628_yfjL_2765153_-1",1961
"b2629_yfjM_2765776_-1",562
"b2630_rnlA_2765918_1",1220
"b2631_rnlB_2766984_1",3932
"b2632_yfjP_2767710_1",829
"b2633_yfjQ_2768665_1",387
"b2634_yfjR_2769703_1",1234
"b2635_ypjK_2770445_1",670
"b2636_yfjS_2770681_1",2662
"b2637_yfjT_2771148_1",162
"b2638_yfjU_2772154_-1",1230
"b2641_yfjV_2773182_-1;b2641_yfjV_2773066_-1",25851
"b2642_yfjW_2773318_1",4826
"b4644_ypjI_2775545_1;b4644_ypjI_2775724_1",3442
"b2643_yfjX_2775919_1",679
"b2644_yfjY_2776386_1",781
"b4548_ypjJ_2776877_1",418
"b2645_yfjZ_2777115_1",571
"b2646_ypjF_2777453_1",815
"b2647_ypjA_2782726_-1",313
"b2648_pinH_2783304_-1",2448
"b2650_ypjC_2785011_-1",861
"b4462_ygaQ_2786397_1",6084
"b2659_csiD_2788985_1",703
"b2660_lhgO_2789982_1",826
"b2661_gabD_2791273_1",1048
"b2662_gabT_2792735_1",762
"b2663_gabP_2794253_1",642
"b2664_csiR_2795674_1",1548
"b2665_ygaU_2796786_-1",1730
"b2666_yqaE_2797028_-1",2050
"b2667_ygaV_2797211_1",1278
"b2668_ygaP_2797520_1",1954
"b2669_stpA_2798495_-1",928
"b2670_alaE_2799164_1",3030
"b2671_ygaC_2799994_-1",1320
"b2672_ygaM_2800146_1",1493
"b2673_nrdH_2800723_1",1208
"b2674_nrdI_2800965_1",1088
"b2675_nrdE_2801348_1",3813
"b2676_nrdF_2803502_1",1482
"b2677_proV_2804815_1",1619
"b2678_proW_2806010_1",303
"b2679_proX_2807132_1",1197
"b2681_ygaY_2808316_1;b2681_ygaY_2808570_1",3608
"b2682_ygaZ_2809617_1",5211
"b2683_ygaH_2810344_1",3413
"b2684_mprA_2810770_1",1590
"b2685_emrA_2811427_1",1720
"b2686_emrB_2812616_1",1204
"b2687_luxS_2814733_-1",1973
"b2688_gshA_2816439_-1",2641
"b2689_yqaA_2816940_-1",3281
"b2690_yqaB_2817503_-1",2250
"b2696_csrA_2819146_-1",1088
"b2697_alaS_2822011_-1",1270
"b2698_recX_2822639_-1",1377
"b2699_recA_2823769_-1",3281
"b2700_pncC_2824346_-1",466
"b2701_mltB_2825576_-1",718
"b2702_srlA_2825832_1",9987
"b2703_srlE_2826392_1",1784
"b2704_srlB_2827362_1",654
"b2705_srlD_2827737_1",825
"b2706_srlM_2828621_1",458
"b2707_srlR_2829047_1",914
"b2708_srlQ_2829813_1",444
"b2709_norR_2832289_-1",3032
"b2710_norV_2832476_1",3349
"b2711_norW_2833912_1",426
"b2712_hypF_2837425_-1",975
"b2713_hydN_2838105_-1",1645
"b2714_ascG_2839264_-1",1860
"b2715_ascF_2839524_1",774
"b2716_ascB_2840990_1",2430
"b2717_hycI_2843043_-1",1772
"b2718_hycH_2843446_-1",1053
"b2719_hycG_2844210_-1",1476
"b2720_hycF_2844752_-1",1411
"b2721_hycE_2846471_-1",567
"b2722_hycD_2847412_-1",188
"b2723_hycC_2849241_-1",1706
"b2724_hycB_2849849_-1",3085
"b2725_hycA_2850435_-1",1249
"b2726_hypA_2850647_1",2272
"b2727_hypB_2851001_1",747
"b2728_hypC_2851864_1",1108
"b2729_hypD_2852136_1",891
"b2730_hypE_2853254_1",893
"b2731_fhlA_2854338_1",3243
"b2732_ygbA_2856806_-1",2478
"b2733_mutS_2857093_1",3715
"b2734_pphB_2859760_1",12574
"b2735_ygbI_2861234_-1",2225
"b2736_ygbJ_2861430_1",2416
"b2737_ygbK_2862335_1",838
"b2738_ygbL_2863593_1",291
"b2739_ygbM_2864236_1",1604
"b2740_ygbN_2865101_1",5000
"b2741_rpoS_2867551_-1",1890
"b2742_nlpD_2868753_-1",566
"b2743_pcm_2869519_-1",931
"b2744_umpG_2870274_-1",949
"b2745_truD_2871304_-1",3144
"b2746_ispF_2871780_-1",2253
"b2747_ispD_2872490_-1",11233
"b2748_ftsB_2872820_-1",629
"b2749_ygbE_2873337_-1",1112
"b2750_cysC_2873992_-1",337
"b2751_cysN_2875419_-1",6188
"b2752_cysD_2876329_-1",5066
"b2753_iap_2876581_1",3947
"b2754_ygbF_2878853_-1",2019
"b2755_ygbT_2879772_-1",1496
"b2756_casE_2880387_-1",3307
"b2757_casD_2881048_-1",1683
"b2758_casC_2882142_-1",4312
"b2759_casB_2882637_-1",367
"b2760_casA_2884138_-1",10517
"b2761_ygcB_2887219_-1",4754
"b2762_cysH_2888312_-1",3159
"b2763_cysI_2890099_-1",3081
"b2764_cysJ_2891898_-1",3981
"b2765_queD_2892214_1",6172
"b2766_ygcN_2892657_1",2639
"b2767_ygcO_2893919_1",757
"b2768_ygcP_2894196_1",1750
"b2769_ygcQ_2895779_-1",1343
"b2770_ygcR_2896555_-1",231
"b2771_ygcS_2897870_-1",1004
"b4463_ygcU_2899418_-1",1919
"b2774_ygcW_2900273_-1",946
"b2775_yqcE_2900592_1",966
"b2776_ygcE_2901896_1",2599
"b2777_queE_2905418_-1",2709
"b4682_yqcG_2905557_1",7996
"b2778_ygcG_2905711_1",4398
"b2779_eno_2907941_-1",2051
"b2780_pyrG_2909666_-1",1182
"b2781_mazG_2910685_-1",1133
"b2782_mazF_2911091_-1",589
"b2783_mazE_2911339_-1",736
"b2784_relA_2913651_-1",532
"b2785_rlmD_2915000_-1",1358
"b2786_barA_2915057_1",1523
"b2787_gudD_2919385_-1",938
"b2788_gudX_2920746_-1",1758
"b2789_gudP_2922100_-1",880
"b2790_yqcA_2922984_-1",3246
"b2791_truC_2923784_-1",1197
"b2792_yqcC_2924113_-1",849
"b2793_syd_2925280_-1",2618
"b2794_queF_2925348_1",672
"b2795_ygdH_2926308_1",8250
"b2796_sdaC_2928229_1",2229
"b2797_sdaB_2929576_1",598
"b2798_ygdG_2931055_1",4135
"b2799_fucO_2933013_-1",2012
"b2800_fucA_2933688_-1",2031
"b2801_fucP_2934235_1",1597
"b2802_fucI_2935584_1",3554
"b2803_fucK_2937468_1",4053
"b2804_fucU_2938888_1",3546
"b2805_fucR_2939368_1",233
"b2806_rlmM_2941243_-1",1248
"b2807_ygdD_2941631_-1",5364
"b2808_gcvA_2942567_-1",2148
"b2809_ygdI_2943145_-1",7716
"b2810_csdA_2943337_1",3182
"b2811_csdE_2944542_1",2405
"b2812_tcdA_2945842_-1",906
"b2813_mltA_2947178_-1",1300
"b2817_amiC_2949010_-1",1947
"b2818_argA_2949242_1",7305
"b2819_recD_2952461_-1",873
"b2820_recB_2956003_-1",17554
"b2821_ptrA_2958884_-1",4424
"b2822_recC_2962428_-1",2711
"b2823_ppdC_2962764_-1",1395
"b2824_ygdB_2963156_-1",1274
"b2825_ppdB_2963716_-1",1800
"b2826_ppdA_2964177_-1",1204
"b2827_thyA_2965155_-1",4471
"b2828_lgt_2966037_-1",1209
"b2829_ptsP_2968434_-1",1557
"b2830_rppH_2968977_-1",1086
"b2831_mutH_2969662_1",1574
"b2832_ygdQ_2970420_1",719
"b2833_ygdR_2971271_1",4562
"b2834_tas_2971597_1",12951
"b2835_lplT_2973862_-1",5692
"b2836_aas_2976014_-1",3874
"b2837_galR_2976599_1",609
"b2838_lysA_2978899_-1",1144
"b2839_lysR_2979021_1",4734
"b2840_ygeA_2980635_-1",961
"b2841_araE_2982182_-1",4625
"b2842_kduD_2983258_-1",1902
"b2843_kduI_2984124_-1",437
"b2844_yqeF_2985592_-1",4641
"b2845_yqeG_2985847_1",5286
"b2846_yqeH_2987536_1",2138
"b2847_yqeI_2988502_1",4559
"b2848_yqeJ_2989304_1",5187
"b4683_yqeL_2989899_-1",31742
"b2849_yqeK_2990360_-1",2836
"b2850_ygeF_2990554_1;b2850_ygeF_2990948_1",1910
"b2851_ygeG_2991268_1",3658
"b2852_ygeH_2992094_1",12265
"b2853_ygeI_2993638_1",1651
"b2854_pbl_2993939_1;b2854_pbl_2994382_1",2938
"b2856_ygeK_2995092_-1",2842
"b2858_ygeN_2996020_-1;b2858_ygeN_2995760_-1",2858
"b2859_ygeO_2996360_-1",5568
"b2860_insD1_2997277_-1",0
"b2861_insC1_2997600_-1",0
"b2863_ygeQ_2998828_-1",2206
"b2865_ygeR_2999891_-1",1642
"b2866_xdhA_3000345_1",991
"b2867_xdhB_3002614_1",5917
"b2868_xdhC_3003489_1",562
"b2869_ygeV_3005786_-1",7145
"b2870_ygeW_3006262_1",1708
"b2871_ygeX_3007510_1",890
"b2872_ygeY_3008764_1",4691
"b2873_hyuA_3010028_1",839
"b2874_yqeA_3011461_1",2750
"b2875_yqeB_3014239_-1",2096
"b2876_yqeC_3015057_-1",4010
"b2877_mocA_3015160_1",3694
"b2878_ygfK_3016060_1",8734
"b2879_ssnA_3019161_1",1079
"b2880_ygfM_3020540_1",1790
"b2881_xdhD_3021316_1",3551
"b2882_xanQ_3024351_1",7262
"b2883_guaD_3025766_1",539
"b4464_ghxQ_3027121_1",3529
"b2886_ygfS_3029012_-1",9235
"b2887_ygfT_3030931_-1",2674
"b2888_uacT_3031367_1",3114
"b4684_yqfG_3032817_1",5480
"b2889_idi_3033065_1",11705
"b2890_lysS_3035174_-1",5043
"b2891_prfB_3036282_-1;b2891_prfB_3036206_-1",4438
"b2892_recJ_3038106_-1",1015
"b2893_dsbC_3038822_-1",2024
"b2894_xerD_3039743_-1",598
"b2895_fldB_3039855_1",2525
"b2896_cptA_3040823_-1",1838
"b2897_sdhE_3041070_-1",174
"b2898_ygfZ_3041313_1",4645
"b2899_yqfA_3043148_-1",1011
"b2900_yqfB_3043623_-1",5951
"b2901_bglA_3043662_1",626
"b2902_ygfF_3045901_-1",1142
"b2903_gcvP_3049041_-1",841
"b2904_gcvH_3049549_-1",1445
"b2905_gcvT_3050667_-1",1606
"b2906_ubiI_3052317_-1",399
"b2907_ubiH_3053518_-1",1305
"b2908_pepP_3054840_-1",1887
"b2909_ygfB_3055444_-1",2847
"b2910_zapA_3055612_1",793
"b2912_fau_3056241_1",643
"b4665_ibsC_3056949_-1",4730
"b2913_serA_3058410_-1",3158
"b2914_rpiA_3059325_-1",2128
"b2915_yqfE_3059701_-1",5040
"b2916_argP_3059753_1",1919
"b2917_scpA_3060850_1",1446
"b2918_argK_3062987_1",2863
"b2919_scpB_3063993_1",25275
"b2920_scpC_3064802_1",1002
"b2921_ygfI_3067173_-1",881
"b2922_yggE_3068080_-1",250
"b2923_argO_3068808_-1",4315
"b2924_mscS_3069807_-1",3711
"b2925_fbaA_3071244_-1",1895
"b2926_pgk_3072622_-1",1844
"b2927_epd_3073691_-1",943
"b2928_yggC_3074689_-1",6938
"b2929_yggD_3075195_-1",3128
"b2930_yggF_3076182_-1",14007
"b4465_yggP_3077456_-1",4141
"b2933_cmtA_3078859_-1",6024
"b2934_cmtB_3079330_-1",1255
"b2935_tktA_3081635_-1",1820
"b2936_loiP_3081913_1",5134
"b2937_speB_3083797_-1",1819
"b2938_speA_3085911_-1",4818
"b2939_yqgB_3086051_-1",7179
"b2940_yqgC_3086187_1",1690
"b2942_metK_3086706_1",4012
"b2943_galP_3088284_1",6126
"b2944_yggI_3089755_1",270
"b2945_endA_3090347_1",748
"b2946_rsmE_3091134_1",1450
"b2947_gshB_3091878_1",1478
"b2948_yqgE_3092937_1",457
"b2949_yqgF_3093500_1",1469
"b2950_yggR_3095080_-1",128
"b2951_yggS_3095098_1",459
"b2952_yggT_3095820_1",3842
"b2953_yggU_3096383_1",3238
"b2954_rdgB_3096681_1",738
"b2955_yggW_3097267_1",3334
"b2956_yggM_3099565_-1",9651
"b2957_ansB_3100728_-1",1271
"b2958_yggN_3101623_-1",2357
"b2959_yggL_3102133_-1",3105
"b2960_trmI_3102852_-1",854
"b2961_mutY_3103013_1",637
"b2962_yggX_3104093_1",1016
"b2963_mltC_3104433_1",5980
"b2964_nupG_3105714_1",2897
"b2965_speC_3109155_-1",1547
"b2966_yqgA_3109553_1",2245
"b2968_yghD_3111126_-1",781
"b2969_yghE_3112090_-1",218
"b2970_yghF_3112941_-1",1308
"b2971_yghG_3113477_-1",3414
"b2972_pppA_3114352_-1",1331
"b4466_sslE_3119112_-1",7071
"b2975_glcA_3121279_-1",5067
"b2976_glcB_3123805_-1",1568
"b2977_glcG_3124231_-1",985
"b4467_glcF_3125459_-1",693
"b4468_glcE_3126522_-1",2593
"b2979_glcD_3128021_-1",3112
"b2980_glcC_3128272_1",2336
"b2981_yghO_3130143_-1",559
"b2982_insH1_3130178_1",0
"b2983_yghQ_3132408_-1",839
"b2984_yghR_3133212_-1",3232
"b2985_yghS_3133957_-1",3226
"b2986_yghT_3134131_1",4437
"b2987_pitB_3136371_-1",2084
"b2988_gss_3138522_-1",2768
"b2989_yghU_3138727_1",1710
"b2990_hybG_3139964_-1",7591
"b2991_hybF_3140318_-1",7216
"b2992_hybE_3140799_-1",3135
"b2993_hybD_3141286_-1",2710
"b2994_hybC_3142989_-1",1045
"b2995_hybB_3144164_-1",3940
"b2996_hybA_3145140_-1",5671
"b2997_hybO_3146261_-1",2900
"b2998_yghW_3146737_-1",2169
"b4658_yghX_3147691_-1;b4658_yghX_3147272_-1",15963
"b3001_gpr_3147897_1",875
"b3002_yqhA_3149471_-1",1172
"b3003_yghA_3149662_1",13758
"b3005_exbD_3151243_-1",2294
"b3006_exbB_3151984_-1",3123
"b3008_metC_3152236_1",978
"b3009_yghB_3153563_1",4144
"b3010_yqhC_3155218_-1",792
"b3011_yqhD_3155355_1",818
"b3012_dkgA_3156623_1",541
"b3013_yqhG_3157650_1",638
"b3014_yqhH_3158627_1",1257
"b4469_ygiQ_3161146_-1",4437
"b3017_ftsP_3162669_-1",1451
"b3018_plsC_3163481_-1",3924
"b3019_parC_3165973_-1",3992
"b3020_ygiS_3167718_-1",458
"b3021_mqsA_3168246_-1",8008
"b3022_mqsR_3168544_-1",1816
"b3023_ygiV_3169231_-1",514
"b3024_ygiW_3169676_-1",647
"b3025_qseB_3169828_1",6711
"b3026_qseC_3170484_1",2488
"b3027_ygiZ_3172211_-1",64407
"b3028_mdaB_3172530_1",598
"b3029_ygiN_3173142_1",6058
"b3030_parE_3175396_-1",2902
"b3031_yqiA_3176006_-1",668
"b3032_cpdA_3176833_-1",21885
"b3033_yqiB_3177280_-1",1839
"b3034_nudF_3177910_-1",757
"b3035_tolC_3178115_1",2710
"b3037_ygiB_3179744_1",937
"b3038_ygiC_3180421_1",739
"b3039_ygiD_3182407_-1",4329
"b3040_zupT_3182550_1",4161
"b3041_ribB_3184466_-1",7295
"b3042_yqiC_3184840_1",1104
"b3043_ygiL_3185414_1",2151
"b3046_yqiG_3186061_1;b3046_yqiG_3187427_1",4545
"b3044_insC1_3186187_1",0
"b3045_insD1_3186510_1",0
"b3047_yqiH_3189881_1",3997
"b3048_yqiI_3190632_1",4805
"b3049_glgS_3191939_-1",2723
"b3050_yqiJ_3192208_1",7235
"b3051_yqiK_3192864_1",4201
"b4664_ibsD_3194766_1",14185
"b4666_ibsE_3195141_1",25558
"b3052_hldE_3196753_-1",431
"b3053_glnE_3199641_-1",4735
"b3054_ygiF_3200965_-1",630
"b3055_ygiM_3201207_1",441
"b3056_cca_3201891_1",4282
"b3057_bacA_3204131_-1",382
"b3058_folB_3204589_-1",673
"b3059_plsY_3204694_1",1376
"b3060_ttdR_3206256_-1",670
"b3061_ttdA_3206463_1",2505
"b3062_ttdB_3207371_1",3030
"b3063_ttdT_3208024_1",7339
"b3064_tsaD_3210543_-1",2458
"b3065_rpsU_3210781_1",2740
"b3066_dnaG_3211107_1",586
"b3067_rpoD_3213047_1",5473
"b3068_mug_3215473_-1",1583
"b3070_yqjH_3216491_-1",2912
"b3071_yqjI_3216779_1",3384
"b3072_aer_3219076_-1",3092
"b3073_patA_3219494_1",583
"b3074_ygjH_3221247_-1",2604
"b3075_ebgR_3221466_1",997
"b3076_ebgA_3222633_1",432
"b3077_ebgC_3225722_1",240
"b3078_ygjI_3226234_1",423
"b3079_ygjJ_3227801_1",1179
"b3080_ygjK_3228888_1",475
"b3081_fadH_3231665_1",964
"b3082_higA_3234144_-1",779
"b3083_higB_3234455_-1",469
"b3084_rlmG_3235875_-1",656
"b3085_ygjP_3235960_1",430
"b3086_ygjQ_3236540_1",462
"b3087_ygjR_3237311_1",418
"b3088_alx_3238580_1",427
"b3089_sstT_3239944_1",951
"b3090_ygjV_3241744_-1",221
"b3091_uxaA_3243314_-1",321
