"","RNA_input"
"b0424_yajL_443641_-1",338
"b0425_panE_444515_-1",601
"b0426_yajQ_444683_1",216
"b0427_yajR_446666_-1",644
"b0428_cyoE_447705_-1",990
"b0429_cyoD_448046_-1",653
"b0430_cyoC_448660_-1",1252
"b0431_cyoB_450641_-1",801
"b0432_cyoA_451610_-1",1678
"b0433_ampG_453545_-1",589
"b0434_yajG_454167_-1",687
"b0435_bolA_454472_1",2918
"b0436_tig_455133_1",404
"b0437_clpP_456677_1",254
"b0438_clpX_457426_1",1127
"b0439_lon_458888_1",151
"b0440_hupB_461451_1",1674
"b0441_ppiD_461915_1",1179
"b0442_ybaV_463937_1",296
"b0443_fadM_464402_1",350
"b0444_queC_465547_-1",2131
"b0445_ybaE_467312_-1",5830
"b0446_cof_467412_1",828
"b0447_ybaO_468383_1",2531
"b0448_mdlA_468871_1",1546
"b0449_mdlB_470636_1",409
"b0450_glnK_472598_1",460
"b0451_amtB_472966_1",1516
"b0452_tesB_475161_-1",167
"b0453_ybaY_475379_1",232
"b0454_ybaZ_476371_-1",198
"b0456_ybaA_476672_1",298
"b0457_ylaB_478617_-1",524
"b0458_ylaC_479251_-1",378
"b0459_maa_479918_-1",516
"b0460_hha_480308_-1",2282
"b0461_tomB_480708_-1",464
"b0462_acrB_484403_-1",2807
"b0463_acrA_485619_-1",952
"b0464_acrR_485761_1",285
"b0465_mscK_486536_1",345
"b0466_ybaM_490271_-1",164
"b0467_priC_490812_-1",3005
"b0468_ybaN_490882_1",1604
"b0469_apt_491412_1",2047
"b0470_dnaX_492092_1",1999
"b0471_ybaB_494076_1",225
"b0472_recR_494405_1",76
"b0473_htpG_495120_1",1175
"b0474_adk_497175_1",623
"b0475_hemH_498055_1",711
"b0476_aes_499973_-1",2064
"b0477_gsk_500125_1",147
"b0478_ybaL_503238_-1",150
"b0479_fsr_504696_-1",1125
"b0480_ushA_504914_1",2026
"b0481_ybaK_507082_-1",477
"b0482_ybaP_508080_-1",494
"b0483_ybaQ_508218_1",550
"b0484_copA_511379_-1",471
"b0485_glsA_511641_1",534
"b0486_ybaT_512576_1",1578
"b0487_cueR_513993_1",1313
"b0488_ybbJ_514859_-1",2566
"b0489_qmcA_515773_-1",1262
"b0490_fetA_515919_1",1090
"b0491_fetB_516583_1",372
"b0492_ybbN_518279_-1",2801
"b0493_ybbO_519149_-1",239
"b0494_tesA_519765_-1",212
"b0495_ybbA_519733_1",294
"b0496_ybbP_520416_1",218
"b0497_rhsD_523261_1",531
"b0498_ybbC_527581_1",471
"b0499_rhsH_527952_1",309
"b0501_ybbD_528640_1",11701
"b4632_ylbI_529500_1",312
"b0502_ylbG_530016_-1;b0502_ylbG_529660_-1",1261
"b0503_mnmH_531226_-1",251
"b0504_allS_532221_-1",2964
"b0505_allA_532451_1",928
"b0506_allR_533011_1",2450
"b0507_gcl_533916_1",533
"b0508_hyi_535710_1",520
"b0509_glxR_536586_1",916
"b0511_ybbW_537633_1",601
"b0512_allB_539147_1",1678
"b0513_ybbY_540565_1",627
"b0514_glxK_541888_1",798
"b0515_allE_544046_-1",756
"b0516_allC_545292_-1",558
"b0517_allD_546363_-1",741
"b0518_fdrA_546680_1",1018
"b4572_ylbE_548357_1",555
"b0520_ylbF_549627_1",462
"b0521_ybcF_550439_1",843
"b0522_purK_552594_-1",331
"b0523_purE_553100_-1",927
"b0524_lpxH_553940_-1",2033
"b0525_ppiB_554437_-1",2036
"b0526_cysS_554611_1",806
"b0527_ybcI_556553_-1",1289
"b0528_ybcJ_556873_-1",370
"b0529_folD_557741_-1",1102
"b0530_sfmA_558212_1",1215
"b0531_sfmC_558974_1",852
"b0532_sfmD_559697_1",956
"b0533_sfmH_562336_1",4185
"b0534_sfmF_563330_1",4765
"b0535_sfmZ_564480_-1",951
"b0537_intD_565978_-1",75
"b4633_xisD_566079_-1",435
"b0539_exoD_566376_-1",930
"b4508_peaD_566376_1",55
"b0542_renD_566684_1;b0542_renD_568035_1",1022
"b0540_insE1_566842_1",0
"b0541_insF1_567138_1",0
"b0543_emrE_568315_1",531
"b0544_ybcK_568902_1",712
