"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b2480_bcp_2600478_1",8.96745900274591,8.74595635638662,8.81243980215918,8.58067058107217,8.48020910725462
"b2481_hyfA_2601201_1",9.49869959957112,9.26812363574122,9.80454142475339,9.46841196517136,9.51243287460858
"b2482_hyfB_2601818_1",3.61258132839866,3.61532141938408,3.69695136810996,3.58761125394731,3.67247855051224
"b2483_hyfC_2603847_1",6.56812910319583,6.74269456425527,6.89660620835055,6.92295922845889,6.30619451247625
"b2484_hyfD_2604811_1",7.28734892133508,7.04064780685036,7.22490966458211,7.04507008707262,6.98691390716601
"b2485_hyfE_2606262_1",5.47143256020335,5.30296353407919,5.49844510801919,5.469836404038,5.59974995337353
"b2486_hyfF_2606917_1",3.49180553936231,3.60223519280813,3.69695136810996,3.58761125394731,3.13112494384497
"b2487_hyfG_2608487_1",5.04442898085543,4.57069770244764,4.36766429492959,4.46109431631337,4.54115551356123
"b2488_hyfH_2610164_1",6.85018154325461,6.83787596093726,6.84295506803142,7.08509934596911,7.12360801810904
"b2489_hyfI_2610706_1",7.5561681045492,7.66400103368346,7.74451676379078,8.05740763286004,7.96136683756747
"b2490_hyfJ_2611457_1",3.257865681804,3.27947230117052,3.23061227066637,3.40504021852903,3.32736428104962
"b2491_hyfR_2611900_1",9.98231299405109,9.56667635557637,10.0299269662274,9.54630531281155,9.52279754915389
"b2492_focB_2613934_1",3.35998751628529,4.3921359701402,3.72513666576203,4.90823761311694,4.39562475804916
"b2493_yfgO_2615881_-1",7.55831790700707,7.42295658919205,7.45268951356412,7.01669220781989,7.27694697293445
"b2494_bepA_2616094_1",7.97840410906637,7.90485822219114,7.8830858357606,7.85857186830849,7.90293123293509
"b2495_yfgD_2617578_1",8.24315467194352,8.3412620977572,8.25217770627753,8.24577755910119,8.33163329299039
"b2496_hda_2618776_-1",2.95259006282868,2.67586047783875,2.5050762662852,2.8406239029178,2.90392620495286
"b2497_uraA_2620160_-1",8.46218652551785,8.17279751743949,8.36395424237899,7.93722285190482,8.01930311905283
"b2498_upp_2620872_-1",5.425064328819,5.12225435667453,5.67498895568407,5.25450266586618,5.34608861958018
"b2499_purM_2621197_1",3.79866245692728,3.39020390376354,3.36206977534298,3.21829539789487,3.47958673352338
"b2500_purN_2622234_1",7.36431659455338,7.51485920513041,7.79358770623813,7.58020010476895,7.48014744250713
"b2501_ppk_2623044_1",7.52132831578157,7.16377713682274,7.34556159397516,7.01350437562034,7.05255029538886
