"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b0628_lipA_660216_-1","lipA","24.9053249261421","20.0376304272603","23.6549755094268","25.4596151838451","26.4117804910603","24.8368676291058","30.337516474938","28.5720145406192","28.5111971405753","24.1278806750268","23.3456872724265","19.1714137272897","20.2302999505994","24.0559761591323","26.6550318002885","25.7123716398505","24.6710975007309","27.1433793886448","20.9528106631208","31.9354567782037","21.7632594678611","26.7974343572209","23.8532105211993","22.2098758407535","18.1429365834705","24.2397185057686"
"b0629_ybeF_661378_-1","ybeF","148.587701254272","111.844658298314","142.165225947202","98.3615969878067","147.044309826116","127.093160480469","130.235530976094","113.740701562082","107.038624077245","95.0679742836524","127.139350956593","107.894933069863","121.217325720258","129.902271259315","119.223321584986","107.05402531812","122.121932628618","105.604710433946","105.727400932299","140.010816157548","116.759092765532","101.724471211293","109.626741504964","116.038554211473","112.189995607991","103.582518033372"
"b0630_lipB_662278_-1","lipB","12.1008923369956","14.1612099654195","12.3570767586558","14.0196118853772","13.4868666337329","15.4391339316063","14.9783554144045","16.7491119720871","13.8177132899717","14.0230417598446","16.4050775427862","15.1587922494849","14.9671324837768","16.7615833882987","17.5285806947549","20.6992677352256","16.8585832921661","17.3887274208506","16.8585832921661","11.7277101162895","12.3907608649136","16.3957986527733","15.8476809627146","20.2785822893836","18.6983326013318","15.3612169600511"
"b0631_ybeD_662642_-1","ybeD","46.8557807932505","43.0616384662758","55.3126293006498","47.2180528299505","46.2674452573893","38.821590393242","42.5232971510638","43.4601140713633","44.8589142723728","55.2672822299758","63.0964520876393","51.7182323805956","52.3027267015496","57.4239430895417","51.8614205679525","52.880160542334","55.0987844182991","55.5591046861324","54.4291403432792","57.1951401055964","54.0110088983414","51.1266839710136","54.404925366845","62.9279815488015","48.3194535539367","50.5933659509939"
"b0632_dacA_663963_-1","dacA","30.8150630442098","31.5978018276028","27.4209417596838","31.403930623245","26.9737332674658","28.1932010924985","24.2446261368752","28.6814858606982","31.1385088224714","23.3029958656241","19.5599001471682","21.6235712970594","22.6974097006724","25.6079746210118","30.8560965948991","25.8740846690319","23.4375426256944","16.964612117903","25.528711842423","20.5685992808769","28.4352076258915","30.1471136518735","31.5319837711744","20.1176411601028","27.9549328990208","24.3806471017324"
"b0633_rlpA_665190_-1","rlpA","446.325935964536","397.188222363434","495.930680580719","398.38129133488","515.498013556013","373.224281129266","527.161949457814","414.020532538781","384.657891797591","487.713143559301","482.84559960066","516.959400390522","539.474665349316","545.372259504458","440.097753311284","551.926568596288","550.1654742663","613.270728062194","466.26024648048","543.263617848425","402.223160384119","490.639867211486","489.80770645586","546.234192779111","505.965772271682","524.818091369084"
"b0634_mrdB_666313_-1","mrdB","31.9407274476512","26.2030551741096","32.8345182444283","27.1419686100903","30.1581323337639","30.5426345168734","31.7338038440774","35.4687077055963","28.2192736203647","31.1394015549491","35.6494954295162","31.2092781607042","29.4408430175389","31.9711683147178","29.4074535622748","27.9763540483908","31.8668342717774","28.8398406004351","35.4030249135489","35.7244092773126","28.276351717367","37.7279667924032","28.1010425318239","27.6818742363014","31.2873090061889","28.6085049806456"
"b0635_mrdA_668217_-1","mrdA","54.0318913651897","55.681492244983","50.8405443784696","61.0133509251617","56.9445480090945","40.0522459964859","58.5171342884788","58.3482136021075","59.9416294832574","69.2903239898204","56.6290657486563","53.724543119498","52.1382527182113","53.388747088655","65.9132579844089","77.9456800654587","53.8652295432625","50.8938363537091","60.9317367559719","51.241071892711","61.636092507519","57.649743650074","63.8808583136228","52.1449258869864","53.8734137325501","56.5123669814722"
"b0636_rlmH_668715_-1","rlmH","100.324839956719","80.6321955173889","101.328029420978","86.6972798991728","104.8978515957","92.746681371751","90.1240029171799","75.3162682143526","78.4301190965997","83.5195869520157","83.9182812765603","90.9527534969095","89.3093729526459","101.655899253108","96.6244902760456","92.3381396626078","89.6383209193224","88.6400983160433","92.9630450110875","93.2804020018717","86.5764701458708","87.091661660968","88.7143377603509","89.0004444922947","92.751134982844","86.1073721338642"
"b0637_rsfS_669036_-1","rsfS","26.7345295817345","31.9831408742809","32.8345182444283","39.4792270692223","32.9678962157915","31.6614123380043","30.9721925518196","35.0308224252803","36.0039008259825","37.3260376254687","36.2804599503926","47.2597640719236","35.6908543843907","36.7823635465443","47.6603557733418","39.1345530619108","41.1184958345515","44.956222112443","47.444870122239","38.2503776100518","37.4899944117899","40.5487493563212","37.9037317871113","41.3618702251713","40.1736452919704","34.1047202232326"
"b0638_cobC_669907_-1","cobC","47.8407371462617","39.3045827611645","49.1929341439821","43.5168752922109","47.2040332180652","36.5840347509802","49.6316692121371","47.9484381946024","39.2150595482999","67.4343331686645","51.7390907118642","50.8265387188612","50.3290389014911","38.9551613931756","41.5760550363195","48.6756217836164","49.7533799598074","65.7378719568742","52.9841189182364","44.3848721324186","46.5447811976884","56.239352368115","52.7711438242971","48.6042210428083","50.1707736134745","45.9427222841894"
"b0639_nadD_670572_-1","nadD","7.31681862236944","5.20207713015412","5.29589003942391","4.71058959348675","3.55903425056841","4.02760015607121","3.80805646128929","5.14515204371304","5.25462336379204","6.18663607051968","3.15482260438197","5.12723855497284","6.25001136685183","4.34559569326262","5.21511491744774","8.08565145907248","6.99014429187376","3.81703772652818","8.67012855025687","4.87151035599717","3.97139771311334","7.58085314052961","7.35201694146554","6.43764517123289","8.33094026792012","5.21435805065953"
"b0641_lptE_672186_-1","lptE","118.476178462213","100.862495467988","113.920479070274","99.8196366238859","111.828602504702","85.8102588807394","143.817599021359","122.279464528244","107.038624077245","165.595625487577","153.797601963621","167.192561575201","160.855555704766","156.596644803642","131.826515968818","158.802194656184","172.080905067598","192.972462841147","151.727249629495","154.444920916058","145.512012208473","161.31350287406","163.541532409045","200.210764825343","186.427929995457","176.01981635875"
"b0642_leuS_674783_-1","leuS","27.2973617834552","23.6020166090326","30.8338486739792","26.9176548199243","26.7864156753306","29.4238566957425","21.9597922601016","22.3321492961162","23.548497296994","26.6025351032346","23.0302050119883","28.0883503446338","23.8487275840399","25.6079746210118","29.8420464720621","28.9466322234795","30.4276869175681","29.6880712063303","30.345449925899","29.229062135983","21.6044035593366","25.7396408957517","19.44200035632","25.2677572970891","30.5467809823738","29.3131479604644"
