"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"1866","b2034_wbbI_2106057_-1","b2034_wbbI_2106057_-1",456.763,425.768,357.986,440.755,365.347,426.929,386.382,347.223,319.749,370.47,350.584,433.75,404.382,393.446,322.957,271.556,351.511,325.171,334.834,291.799,304.688,278.232,315.562,284.882,328.454,333.095
"1867","b2035_wbbH_2107226_-1","b2035_wbbH_2107226_-1",385.616,497.561,376.127,511.004,407.428,437.544,366.802,462.964,467.016,426.35,376.919,487.969,411.122,452.864,390.179,337.829,345.271,372.235,454.418,291.799,432.461,460.22,452.906,379.29,402.264,372.368
"1868","b2036_glf_2108329_-1","b2036_glf_2108329_-1",845.225,947.26,838.122,925.698,860.764,872.729,981.62,1023.689,838.208,1268.703,1091.254,964.641,951.983,1071.137,870.961,947.213,973.414,898.499,990.153,910.266,1023.818,1025.433,999.008,902.678,930.005,967.284
"1869","b2037_wzxB_2109584_-1","b2037_wzxB_2109584_-1",563.483,741.854,483.764,738.746,459.074,694.645,498.642,604.55,744.401,409.793,470.737,537.669,522.327,546.007,660.527,378.239,449.268,415.021,466.376,345.02,604.462,575.713,552.643,409.104,457.622,488.733
"1870","b2038_rfbC_2110138_-1","b2038_rfbC_2110138_-1",2313.697,3006.303,2415.193,3170.261,2714.276,3501.529,2655.073,2981.172,3070.402,2616.053,3393.916,3092.726,2862.69,3195.746,3222.263,2906.297,3020.079,2990.718,3102,3330.912,3250.008,3116.547,3152.354,2828.942,2812.158,3040.034
"1871","b2039_rfbA_2111019_-1","b2039_rfbA_2111019_-1",7258.405,5112.211,6830.751,4940.078,5987.093,6041.877,6627.24,5246.548,5189.625,3472.893,3973.285,4470.786,4660.506,5098.74,4552.085,3885.838,4600.836,4603.738,4063.453,5182.643,4650.592,4110.483,4287.071,4654.173,4406.453,4146.956
"1872","b2040_rfbD_2111976_-1","b2040_rfbD_2111976_-1",1696.142,1699.085,1613.354,1870.658,1794.215,1711.256,2125.103,1864.216,2039.538,1297.678,1417.149,1287.695,1273.804,1532.031,1879.288,1601.858,1686.835,1501.777,1497.187,2048.098,1705.272,1594.146,1662.834,1714.26,1498.342,1736.747
"1873","b2041_rfbB_2113061_-1","b2041_rfbB_2113061_-1",569.175,657.099,495.858,726.282,571.93,709.977,556.077,594.436,692.959,567.087,692.938,650.625,586.354,656.814,771.589,625.549,586.544,569.049,631.402,690.04,640.501,668.457,585.344,534.982,594.17,677.826
"1874","b2042_wcaN_2114327_-1","b2042_wcaN_2114327_-1",1714.64,1673.16,1652.055,1664.444,1863.076,2124.033,1635.598,1484.406,1518.054,1384.604,1812.174,1651.412,1631.009,1947.96,1554.87,1430.519,1530.839,1458.991,1533.062,1844.39,1654.49,1406.909,1569.637,1542.006,1461.437,1470.562
"1875","b2043_wcaM_2115896_-1","b2043_wcaM_2115896_-1",621.824,504.54,506.743,521.201,571.93,544.866,532.581,558.478,651.603,473.953,656.728,447.304,451.56,459.288,523.161,669.192,501.266,577.606,526.168,590.939,479.966,531.965,575.534,511.793,546.194,541.097
